diet_id,keto-friendly,paleo_friendly,gluten_free,vegetarian,sugar_conscious,dairy_free,engine_2,low_sodium,low_fat,vegan,organic,whole_foods_diet
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,0,0,1,1,1,1
3,1,1,0,0,1,1,0,0,0,0,0,1
4,1,1,1,0,1,1,0,0,0,0,1,1
5,1,1,1,0,1,1,0,0,0,0,1,1
6,1,1,1,1,1,1,0,1,1,1,1,0
7,1,1,1,1,0,1,1,1,1,1,1,1
8,0,1,1,1,0,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,0,1,1,1
10,1,1,0,1,0,1,1,1,1,1,1,1
11,1,1,0,1,0,1,1,0,0,1,1,1
12,1,1,1,1,0,1,1,0,0,1,0,1
13,0,1,0,1,0,1,1,0,0,1,0,1
14,0,1,1,1,0,1,1,0,0,1,0,1
15,1,1,1,1,1,1,1,1,0,1,0,1
16,0,1,1,1,0,1,1,1,1,1,0,1
17,1,1,1,1,1,1,1,1,1,1,0,1
18,0,1,0,1,1,1,1,1,1,1,0,1
19,1,1,1,1,1,1,1,0,1,1,1,1
20,1,1,1,1,1,1,1,0,1,1,0,1
21,1,1,0,1,1,1,1,0,0,1,1,1
22,0,0,0,1,1,1,1,1,1,1,0,0
